product_name,Price,Description,Category,StockQuantity,Brand,Rating,Warehouse
Toy Kitchen Set,9.72,Speak quality indicate money speak cover especially.,Toys,44.0,Star Wars,4.6,Ukraine
Toy Dinosaur,99.22,Few trade trouble above could consumer.,Toys,23.0,LeapFrog,1.6,Switzerland
Stuffed Animal,6.71,Ready serve dream article seat entire instead.,Toys,87.0,Crayola,3.0,New Zealand
Toy Dinosaur,298.1,Feeling style public million culture edge he.,Toys,82.0,Transformers,2.5,Egypt
Puzzle,167.86,Organization manage among democratic.,Toys,26.0,Crayola,2.3,Indonesia
Building Blocks,356.42,Bank term task work player majority up.,Toys,75.0,Chicco,2.4,India
Kite,373.53,Man us far everyone thing rock teacher.,Toys,88.0,Tonka,4.1,Saudi Arabia
Card Game,123.29,Material hot story performance blue total arm.,Toys,82.0,Paw Patrol,3.3,China
Toy Car,177.19,Feeling easy specific throughout director.,Toys,38.0,Nickelodeon,4.5,Spain
Toy Guitar,213.53,Available week gun floor table my evening art.,Toys,17.0,Hasbro,4.1,Ukraine
Toy Helicopter,314.06,Hundred court speak they Democrat picture stock.,Toys,4.0,Star Wars,3.5,United States
Kite,275.65,Ground name send quite well how.,Toys,84.0,Schleich,4.2,Mexico
Toy Guitar,384.38,Suggest interesting community.,Toys,48.0,Mega Bloks,3.7,Italy
Board Game,424.79,Father cut firm day position form.,Toys,84.0,Hot Wheels,2.6,Denmark
Hot Wheels,247.55,Future war really art.,Toys,27.0,Transformers,1.8,New Zealand
Hot Wheels,193.78,Ask imagine soon describe.,Toys,79.0,Mega Bloks,2.9,Kuwait
Toy Guitar,127.49,Source TV bit study.,Toys,64.0,Fisher-Price,1.3,Chile
Rubik's Cube,482.18,Strategy life end middle rather without among.,Toys,72.0,Nerf,4.0,Sweden
Teddy Bear,167.47,Seem draw smile but step.,Toys,58.0,Chicco,1.2,Switzerland
Toy Tool Set,384.77,Admit gun each yet have interview.,Toys,64.0,Star Wars,3.4,United States
Lego,304.17,Than tough include least population.,Toys,48.0,DC Comics,2.8,Vietnam
Remote Control Car,185.63,Per resource thus article.,Toys,35.0,DC Comics,2.2,Czech Republic
Kite,146.41,Character way remember stage.,Toys,98.0,DC Comics,2.2,Brazil
Yo-Yo,63.19,List listen career leave attack notice visit table.,Toys,75.0,Star Wars,3.2,Malaysia
Toy Car,471.81,Happy before point work ball.,Toys,13.0,Nerf,2.9,Portugal
Card Game,458.16,Everyone air down east exactly all stop.,Toys,27.0,Nickelodeon,2.6,Austria
Toy Tool Set,129.01,If positive conference thus.,Toys,84.0,Nerf,3.4,Sweden
Barbie Doll,381.0,But condition study life light pay hard.,Toys,33.0,Star Wars,4.9,Poland
Play-Doh,478.93,Require garden such clear.,Toys,60.0,Transformers,3.5,Japan
Stuffed Animal,145.67,Scientist growth space success or.,Toys,5.0,Mattel,2.1,Thailand
Kite,339.37,Peace true rich address.,Toys,22.0,Hot Wheels,2.5,Austria
Toy Car,114.74,Much art contain style how.,Toys,15.0,Brio,4.4,France
Robot Toy,181.28,Risk class easy message.,Toys,31.0,Tonka,3.7,Greece
Toy Dinosaur,407.98,Share last final service.,Toys,79.0,Nerf,1.3,Denmark
Toy Kitchen Set,199.08,Usually certain one measure protect major article.,Toys,57.0,Paw Patrol,1.5,Poland
Teddy Bear,423.61,Yet well find but across economy any though.,Toys,15.0,Play-Doh,2.5,United Arab Emirates
Toy Helicopter,87.22,Receive mean operation sport something.,Toys,44.0,Mega Bloks,4.7,Norway
Toy Train,277.58,Step person executive rich few responsibility discover.,Toys,17.0,Hasbro,3.0,Denmark
Teddy Bear,200.98,Remember city TV million season water benefit.,Toys,27.0,Disney,4.7,Finland
Rubik's Cube,461.51,Throw point wall once admit prevent.,Toys,30.0,Nickelodeon,2.3,Hungary
Building Blocks,387.71,Door though maintain nice anything give.,Toys,21.0,Tonka,2.5,South Africa
Dollhouse,60.34,Anything nothing section picture share forward some body.,Toys,38.0,Peppa Pig,3.6,Finland
Toy Car,355.53,Treatment anything city social contain affect need.,Toys,33.0,Melissa & Doug,4.6,China
Toy Guitar,134.87,End push right serve song reality either.,Toys,97.0,Barbie,2.7,Singapore
Hot Wheels,479.68,A item here range class represent.,Toys,45.0,Brio,4.4,France
Toy Kitchen Set,209.56,Discuss believe education see perform until.,Toys,62.0,Thomas & Friends,1.3,Ireland
Action Figure,452.9,Loss interest someone sell.,Toys,61.0,Thomas & Friends,2.2,Peru
Toy Tool Set,289.55,Challenge from rich event single computer rule.,Toys,35.0,Nickelodeon,2.0,Kuwait
Board Game,132.64,Serve road thank poor six discuss west guess.,Toys,60.0,Lego,1.8,Portugal
Kite,256.07,Argue down spend off short meet.,Toys,32.0,Fisher-Price,2.1,Finland
Hot Wheels,374.25,Source owner production say big professor.,Toys,9.0,Thomas & Friends,4.6,Israel
Toy Boat,114.36,Accept capital want type them common inside per.,Toys,61.0,Nickelodeon,4.6,Hungary
Lego,39.44,Raise her significant do.,Toys,85.0,Transformers,2.9,Peru
Robot Toy,434.98,We team a often decade fish.,Toys,58.0,Hot Wheels,3.1,India
Yo-Yo,272.5,Party tell actually energy.,Toys,42.0,Barbie,3.5,Turkey
Remote Control Car,464.82,Property education administration charge commercial economic even.,Toys,80.0,Fisher-Price,3.6,Czech Republic
